,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
87,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,177cm,71kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
88,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,176cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
89,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,여자,158cm,55kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,S
90,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,173cm,87kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
91,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,181cm,76kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
92,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,177cm,72kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
93,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,179cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
94,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,164cm,52kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,S
95,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,176cm,73kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
96,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,188cm,87kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
97,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,69kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
98,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,62kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
99,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,166cm,62kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,S
